Date,Competition,,VT,UB,BB,FX,AA,Full_Name,Nation,Birthdate,comp_year,Comp_Year
Jul 23-Aug 8,Olympic Games,EF,,,14,,,Simone Arianne Biles,United States,14-Mar-97,2023,
Jul 23-Aug 8,Olympic Games,TF,13.766,,,,,Simone Arianne Biles,United States,14-Mar-97,2023,
Jul 23-Aug 8,Olympic Games,QF,14.966,14.566,14.066,14.133,57.731,Simone Arianne Biles,United States,14-Mar-97,2023,
Jun 24-27,U.S. Olympic Trials,AA,15.4,13.833,13.7,14.6,57.533,Simone Arianne Biles,United States,14-Mar-97,2023,
Jun 24-27,U.S. Olympic Trials,QF,15.466,14.6,15.133,15.366,60.565,Simone Arianne Biles,United States,14-Mar-97,2023,
Jun 3-6,U.S. Championships,AA,15.55,14.7,14.9,14.95,60.1,Simone Arianne Biles,United States,14-Mar-97,2023,
Jun 3-6,U.S. Championships,QF,15.8,14.75,14.35,14.65,59.55,Simone Arianne Biles,United States,14-Mar-97,2023,
May 21-22,U.S. Classic,AA,16.1,13.2,14.85,14.25,58.4,Simone Arianne Biles,United States,14-Mar-97,2023,
Oct 4-13,World Championships,EF,15.399*,14.7,15.066,15.133,,Simone Arianne Biles,United States,14-Mar-97,2021,
Oct 4-13,World Championships,AA,15.233,14.733,14.633,14.4,58.999,Simone Arianne Biles,United States,14-Mar-97,2021,
Oct 4-13,World Championships,TF,15.4,14.6,14.433,15.333,59.766,Simone Arianne Biles,United States,14-Mar-97,2021,
Oct 4-13,World Championships,QF,15.066,14.733,14.8,14.833,59.432,Simone Arianne Biles,United States,14-Mar-97,2021,
Aug 8-11,U.S. Worlds Trials,AA,15.35,13.85,14.55,14.8,58.55,Simone Arianne Biles,United States,14-Mar-97,2021,
Aug 8-11,U.S. Championships,AA,15.3,14.75,14.7,15.1,59.85,Simone Arianne Biles,United States,14-Mar-97,2021,
Aug 8-11,U.S. Championships,QF,15.3,14.05,14.95,14.35,58.65,Simone Arianne Biles,United States,14-Mar-97,2021,
20-Jul,U.S. Classic,AA,15.65,14.45,14.9,15,60,Simone Arianne Biles,United States,14-Mar-97,2021,
17-Mar,Stuttgart World Cup,AA,15.4,14.3,14.2,14.9,58.8,Simone Arianne Biles,United States,14-Mar-97,2021,
Oct 25-Nov 3,World Championships,EF,15.366*,14.7,13.6,14.933,,Simone Arianne Biles,United States,14-Mar-97,2019,
Oct 25-Nov 3,World Championships,AA,14.533,14.725,13.233,15,57.491,Simone Arianne Biles,United States,14-Mar-97,2019,
Oct 25-Nov 3,World Championships,TF,15.5,14.866,13.733,14.766,58.865,Simone Arianne Biles,United States,14-Mar-97,2019,
Oct 25-Nov 3,World Championships,QF,15.966,14.866,14.8,15.333,60.965,Simone Arianne Biles,United States,14-Mar-97,2019,
11-Oct,U.S. Worlds Trials,AA,16,14.75,13.85,15.1,59.7,Simone Arianne Biles,United States,14-Mar-97,2019,
Aug 16-19,U.S. Championships,AA,15.6,14.55,14.9,14.7,59.75,Simone Arianne Biles,United States,14-Mar-97,2019,
Aug 16-19,U.S. Championships,QF,15.6,14.85,15.2,14.45,60.1,Simone Arianne Biles,United States,14-Mar-97,2019,
28-Jul,U.S. Classic,AA,15.4,13.35,15.2,14.75,58.7,Simone Arianne Biles,United States,14-Mar-97,2019,
Aug 5-21,Olympic Games,EF,15.966*,,14.733,15.966,,Simone Arianne Biles,United States,14-Mar-97,2018,
Aug 5-21,Olympic Games,AA,15.866,14.966,15.433,15.933,62.198,Simone Arianne Biles,United States,14-Mar-97,2018,
Aug 5-21,Olympic Games,TF,15.933,14.8,15.3,15.8,61.833,Simone Arianne Biles,United States,14-Mar-97,2018,
Aug 5-21,Olympic Games,QF,16,15,15.633,15.733,62.366,Simone Arianne Biles,United States,14-Mar-97,2018,
Jul 8-10,U.S. Olympic Trials,AA,16.2,14.9,14.75,15.55,61.4,Simone Arianne Biles,United States,14-Mar-97,2018,
Jul 8-10,U.S. Olympic Trials,QF,16,14.95,15.2,15.7,61.85,Simone Arianne Biles,United States,14-Mar-97,2018,
Jun 23-26,U.S. Championships,AA,16.2,14.75,15.1,16.05,62.1,Simone Arianne Biles,United States,14-Mar-97,2018,
Jun 23-26,U.S. Championships,QF,16,15.1,15.7,16.1,62.9,Simone Arianne Biles,United States,14-Mar-97,2018,
4-Jun,Secret U.S. Classic,AA,,15.1,15.65,,,Simone Arianne Biles,United States,14-Mar-97,2018,
Apr 8-10,Pacific Rim Championships,AA,15.8,15.05,15.55,16.05,62.45,Simone Arianne Biles,United States,14-Mar-97,2018,
Oct 23-Nov 1,World Championships,EF,15.541*,,15.358,15.8,,Simone Arianne Biles,United States,14-Mar-97,2016,
