"","...1","Date","Competition","...4","VT","UB","BB","FX","AA","Full_Name","Nation","Birthdate","comp_year","Comp_Year","Age"
"1",1,"Jul 23-Aug 8","Olympic Games","EF",NA,NA,14,NA,NA,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"2",2,"Jul 23-Aug 8","Olympic Games","TF",13.766,NA,NA,NA,NA,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"3",3,"Jul 23-Aug 8","Olympic Games","QF",14.966,14.566,14.066,14.133,57.731,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"4",4,"Jun 24-27","U.S. Olympic Trials","AA",15.4,13.833,13.7,14.6,57.533,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"5",5,"Jun 24-27","U.S. Olympic Trials","QF",15.466,14.6,15.133,15.366,60.565,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"6",6,"Jun 3-6","U.S. Championships","AA",15.55,14.7,14.9,14.95,60.1,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"7",7,"Jun 3-6","U.S. Championships","QF",15.8,14.75,14.35,14.65,59.55,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"8",8,"May 21-22","U.S. Classic","AA",16.1,13.2,14.85,14.25,58.4,"Simone Arianne Biles","United States",1997-03-14,2023,NA,26
"9",9,"Oct 4-13","World Championships","EF",15.399,14.7,15.066,15.133,NA,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"10",10,"Oct 4-13","World Championships","AA",15.233,14.733,14.633,14.4,58.999,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"11",11,"Oct 4-13","World Championships","TF",15.4,14.6,14.433,15.333,59.766,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
"12",12,"Oct 4-13","World Championships","QF",15.066,14.733,14.8,14.833,59.432,"Simone Arianne Biles","United States",1997-03-14,2021,NA,26
