"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","New_Date"
"AAS","Fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","HB",39,4.6,6.7,NA,11.3,"Feb 2023"
"AAS","Fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","PH",44,4.4,7.8,NA,12.2,"Feb 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","FX",54,4,8.566,NA,12.566,"Aug 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","HB",44,4.6,8.166,NA,12.766,"Aug 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PB",54,4.4,8.066,NA,12.466,"Aug 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PH",58,4.4,7.266,NA,11.666,"Aug 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","SR",73,3.5,8.366,NA,11.866,"Aug 2023"
"AAS","Fredrik Bjornevik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","VT1",69,4,8.966,NA,12.966,"Aug 2023"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",13,5.5,8.3,NA,13.8,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,7.9,NA,13.4,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,8.133,NA,13.433,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,8.166,NA,13.166,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,8.4,NA,14.2,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,8.5,NA,14.3,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,6.166,NA,11.266,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,7.933,NA,13.233,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,7.666,NA,12.566,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,9.033,0.1,13.733,"Nov 2022"
"ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",97,4.8,9,0.3,13.5,"Nov 2022"
"ABAD","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,7.133,0.1,12.433,"Aug 2022"
