"Rank","Name","Country","D_Score","E_Score","Penalty","Score","Round","Date","Apparatus","Gender","Competition"
1,"Leszek Blanik","Poland",7,9.6,NA,16.6,"final",2008-08-18,"VT1","m","Olympic Games"
1,"Leszek Blanik","Poland",7,9.475,NA,16.475,"final",2008-08-18,"VT2","m","Olympic Games"
1,"Thomas Bouhail","France",7,9.575,NA,16.575,"final",2008-08-18,"VT1","m","Olympic Games"
1,"Thomas Bouhail","France",7,9.5,NA,16.5,"final",2008-08-18,"VT2","m","Olympic Games"
3,"Anton Golotsutskov","Russia",7,9.5,NA,16.5,"final",2008-08-18,"VT1","m","Olympic Games"
3,"Anton Golotsutskov","Russia",7,9.45,NA,16.45,"final",2008-08-18,"VT2","m","Olympic Games"
4,"Marian Drăgulescu","Romania",7,9.8,NA,16.8,"final",2008-08-18,"VT1","m","Olympic Games"
4,"Marian Drăgulescu","Romania",7.2,8.75,0.3,15.65,"final",2008-08-18,"VT2","m","Olympic Games"
5,"Benoît Caranobe","France",7,9.375,0.1,16.275,"final",2008-08-18,"VT1","m","Olympic Games"
5,"Benoît Caranobe","France",7,8.95,0.1,15.85,"final",2008-08-18,"VT2","m","Olympic Games"
6,"Dmitry Kasperovich","Belarus",7,9.3,NA,16.3,"final",2008-08-18,"VT1","m","Olympic Games"
6,"Dmitry Kasperovich","Belarus",7,8.9,0.1,15.8,"final",2008-08-18,"VT2","m","Olympic Games"
7,"Flavius Koczi","Romania",7,8.8,0.3,15.5,"final",2008-08-18,"VT1","m","Olympic Games"
7,"Flavius Koczi","Romania",7,9.35,NA,16.35,"final",2008-08-18,"VT2","m","Olympic Games"
8,"Isaac Botella","Spain",6.6,9.475,NA,16.075,"final",2008-08-18,"VT1","m","Olympic Games"
8,"Isaac Botella","Spain",6.6,9.1,0.3,15.4,"final",2008-08-18,"VT2","m","Olympic Games"
1,"Leszek Blanik","Poland",7,9.5375,NA,16.5375,"final",2008-08-18,"VT","m","Olympic Games"
1,"Thomas Bouhail","France",7,9.5375,NA,16.5375,"final",2008-08-18,"VT","m","Olympic Games"
3,"Anton Golotsutskov","Russia",7,9.475,NA,16.475,"final",2008-08-18,"VT","m","Olympic Games"
4,"Marian Drăgulescu","Romania",7.1,9.275,0.3,16.225,"final",2008-08-18,"VT","m","Olympic Games"
5,"Benoît Caranobe","France",7,9.1625,0.1,16.0625,"final",2008-08-18,"VT","m","Olympic Games"
