"Name","Country","Apparatus","Score","Rank","Gender","Competition","Round","Date"
"China","China","FX",45.925,6,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","PH",46.025,1,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","SR",48.875,1,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","VT",49.325,1,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","PB",49.025,1,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","UB",46.95,1,"m","Olympic Games","TeamFinal",2008-08-01
"China","China","AA",286.125,1,"m","Olympic Games","TeamFinal",2008-08-01
"Chen Yibing","China","FX",14.575,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Chen Yibing","China","SR",16.575,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Chen Yibing","China","VT",15.95,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Huang Xu","China","PH",14.75,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Huang Xu","China","SR",16,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Huang Xu","China","PB",16.475,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Li Xiaopeng","China","VT",16.775,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Li Xiaopeng","China","PB",16.45,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Li Xiaopeng","China","UB",15.725,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Xiao Qin","China","PH",16.1,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Xiao Qin","China","UB",15.25,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Yang Wei","China","FX",15.425,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Yang Wei","China","PH",15.175,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Yang Wei","China","SR",16.3,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Yang Wei","China","VT",16.6,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Yang Wei","China","PB",16.1,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Zou Kai","China","FX",15.925,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Zou Kai","China","UB",15.975,NA,"m","Olympic Games","TeamFinal",2008-08-01
"Japan","Japan","FX",45.975,5,"m","Olympic Games","TeamFinal",2008-08-01
